"","Ensembl_ID","logFC","logCPM","LR","PValue","FDR"
"DPM1","ENSG00000000419",-0.0224984461639419,4.72501941797588,0.00700665055323313,0.933290394994384,0.954497172007025
"SCYL3","ENSG00000000457",-0.253281031934578,2.73657528274191,0.802484854657905,0.370351475735831,0.490531319835741
"FIRRM","ENSG00000000460",-0.0232861364139207,3.4224344004702,0.00437040906199115,0.947290990281838,0.964116762755761
"FGR","ENSG00000000938",1.48266442135443,4.25229998173316,5.87202304252241,0.0153833636442622,0.0451526891648723
"CFH","ENSG00000000971",-3.3838021243968,2.25522007798154,18.7671345234621,1.47690411727204e-05,0.000262564648438173
"FUCA2","ENSG00000001036",1.50961356372775,1.76039395583835,10.8832649538613,0.000970370386553968,0.0059199746187064
"GCLC","ENSG00000001084",-0.308231852870017,4.11465052110222,0.852518083608885,0.355840958824762,0.476180598632112
"NFYA","ENSG00000001167",-0.873327622096983,5.78564257513888,10.8544049224236,0.000985610296714254,0.0059884266722875
"STPG1","ENSG00000001460",0.506491497218995,1.76216864624699,1.70553309771881,0.191565955432592,0.298405437477494
"NIPAL3","ENSG00000001461",-0.107368325723337,3.98820087139478,0.123397301498933,0.72537865748801,0.799751677048545
"LAS1L","ENSG00000001497",-0.188874438517044,5.74178423554316,0.582858361993992,0.44519411026227,0.562553168336497
"SEMA3F","ENSG00000001617",-0.314425416073021,5.56061385079814,0.355204011084368,0.551181945871148,0.657236163725657
"ANKIB1","ENSG00000001629",-0.734679340902621,5.32371015473944,5.06391262580411,0.024429026512367,0.0635154689321541
"KRIT1","ENSG00000001631",-0.453697624186432,2.25772118325286,1.43910504177676,0.230284219038968,0.34345523027756
"RAD52","ENSG00000002016",-0.600556748406771,4.45874012987999,3.25890272797378,0.0710366458332954,0.140131327337595
"BAD","ENSG00000002330",-0.0111164595390206,2.60267380447514,0.00196292002154053,0.964661403140777,0.97572989232068
"LAP3","ENSG00000002549",0.532118207841673,5.852904320753,4.06279025700683,0.0438380064364029,0.098003994581262
"CD99","ENSG00000002586",-0.310448004967561,8.80102294972241,0.666878660290614,0.414141969319351,0.533450376873569
"MAD1L1","ENSG00000002822",-2.29796583931106,2.22690487201473,31.4302974909168,2.06729742130293e-08,2.09634048862393e-06
"LASP1","ENSG00000002834",-0.558319034697663,6.9014857462968,4.09624600673522,0.0429785403380788,0.0966190273059753
"SNX11","ENSG00000002919",-0.420526917118845,3.90816268371297,2.14072858000615,0.143433756543882,0.239050912293406
"M6PR","ENSG00000003056",0.186437676299972,4.84300187394953,0.496796878340682,0.480910937323183,0.594474870912776
"ICA1","ENSG00000003147",1.75289899766569,0.819576002097229,16.6563446569991,4.48002089684353e-05,0.000604559341677309
"DBNDD1","ENSG00000003249",0.785191639854791,2.18490282993093,2.15601546053128,0.142012528183631,0.237383406162962
"ALS2","ENSG00000003393",-0.827050673809747,3.29182323284844,7.24822515868246,0.00709711258592005,0.0253191530902866
"CASP10","ENSG00000003400",-0.958279374901269,5.75123996481939,8.55042453162977,0.00345441656139195,0.0149850162346548
"CFLAR","ENSG00000003402",-1.10756297675272,6.35183175830543,12.5661467805174,0.000392797632304741,0.00303637647004699
"TFPI","ENSG00000003436",-0.225173778491037,4.73843907017643,0.0786171774718056,0.779180188779945,0.842580130104059
"NDUFAF7","ENSG00000003509",-0.384710361503355,3.19093544739555,2.00514478034439,0.156766326277253,0.256072389741782
"RBM5","ENSG00000003756",-1.59578458351171,7.74490910319238,20.813381496828,5.06279880056921e-06,0.00011693887834245
"MTMR7","ENSG00000003987",-1.28822564977924,1.94413912194294,8.4383894038083,0.00367381484368068,0.0156916552583586
"ARF5","ENSG00000004059",0.304660641531547,5.28992862876766,1.65555957167201,0.198203929626087,0.306343204022144
"SARM1","ENSG00000004139",-0.741987556651145,2.35672280915915,4.1017221843139,0.0428395557606372,0.0963917557631808
"POLDIP2","ENSG00000004142",0.681474778699406,5.7440268701861,6.43636017342199,0.0111807509720414,0.0355237423718219
"PLXND1","ENSG00000004399",-0.288691499032591,8.11907702659921,0.698934689768883,0.403141885592513,0.522748844630983
"AK2","ENSG00000004455",0.486332544091502,5.9933517593334,2.4019417904077,0.121184744015247,0.209980264752169
"CD38","ENSG00000004468",-0.658295293714151,7.10572449246529,2.8679442914046,0.0903602202397679,0.167514491575581
"FKBP4","ENSG00000004478",0.896042338459612,4.39297122329798,4.42540266658366,0.0354077577109918,0.0838107363168663
"KDM1A","ENSG00000004487",-0.190730550104761,7.09448521992586,0.600274414408972,0.438473343706162,0.556515238927791
"RBM6","ENSG00000004534",-1.00782066758099,6.62619469195031,14.6975902145321,0.000126207679731819,0.00130572361989211
"CAMKK1","ENSG00000004660",-2.27930630935856,4.49042031911651,28.2170757490698,1.08443631720476e-07,7.02431837118109e-06
"RECQL","ENSG00000004700",-0.636917711814776,3.32976980330902,3.99076349477965,0.0457503290249636,0.100986888265177
"VPS50","ENSG00000004766",-1.02976370741325,3.48283339295412,8.97654141761204,0.00273467784885797,0.0126211990682423
"ARHGAP33","ENSG00000004777",0.1783042668449,6.52431693286854,0.452303006140937,0.501243317636624,0.611941567331838
"NDUFAB1","ENSG00000004779",1.10284216376975,4.95735444047376,13.8896168260558,0.000193866527089711,0.00180288609274813
